"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"ATUL.NS, Long, 2025-11-18 (Price: 6146.0)",2026-02-09 (Price: 6531.0),"6.26%, 2.8 months","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2026-02-13 (Price: 6642.5), 8.08% above",2.9 months,"2, 2025-06-09 (Price: 7502.0)",2025-11-14 (Price: 5916.5),2025-11-18 (Price: 6146.0),91/87/87 days,12.27% above/8.08% above/8.08% above,2025-06-09 (Price: 7502.0)/2025-11-18 (Price: 5889.5435),13.13%/0.46%/5.09%,"17.37%, 25.96%",2.7 months/7 days/26 days,2026-03-15/2025-11-28/2025-12-25,11.38%,4.85%,6.53%,0.44,0.25,6647.5136/6458.8314/6959.6/10824.4001/12269.9576/13179.5057/6365.23,5691.0/No Horizontal Support/5827.6988/5342.5376/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),32.811497,20.0,1607400000.0,1368100000.0
"ADANIPORTS.NS, Long, 2025-11-12 (Price: 1506.9)",2026-02-09 (Price: 1561.7),"3.64%, 3 months","85.71%, Past 4 years, 21","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2026-02-13 (Price: 1523.3), 1.09% above",3.1 months,"0, 2025-06-02 (Price: 1482.0)",2025-11-11 (Price: 1474.4),2025-11-12 (Price: 1506.9),94/93/93 days,3.32% above/1.09% above/1.09% above,2025-06-02 (Price: 1482.0)/2025-11-12 (Price: 1452.8513),11.99%/1.12%/5.02%,"18.11%, 48.65%",2.6 months/7 days/25 days,2026-03-04/2025-11-22/2025-12-18,13.7%,17.85%,-4.15%,0.11,0.84,1667.9876/1582.5464/1521.84/1613.175/2003.147/2236.9645/No EMA 200 Target,1417.9/647.7167/1478.5087/1311.4082/No F-Track Level/No F-Track Level/1315.85,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),26.346786,20.0,30536100000.0,24450000000.0
"MFSL.NS, Long, 2025-11-12 (Price: 1718.8)",2026-02-13 (Price: 1838.5),"6.96%, 3.1 months","80.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2026-02-13 (Price: 1838.5), 6.96% above",3.1 months,"4, 2025-08-18 (Price: 1674.8)",2025-11-12 (Price: 1718.8),2025-11-12 (Price: 1718.8),93/93/93 days,6.96% above/6.96% above/6.96% above,2025-08-18 (Price: 1674.8)/2025-11-12 (Price: 1626.0437),9.23%/2.35%/5.66%,"17.53%, 28.68%",4.1 months/8 days/1.6 month,2026-05-07/2025-11-23/2026-01-20,13.68%,14.49%,-0.81%,0.13,0.7,1798.7242/1816.0841/1745.2/No Horizontal Resistance/1792.5323/1920.7069/No EMA 200 Target,1513.6/698.25/1557.7732/1423.1278/No F-Track Level/No F-Track Level/1399.25,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),441.94244,20.0,41200000.0,1125600000.0
"BEL.NS, Long, 2025-10-31 (Price: 426.1)",2026-02-09 (Price: 437.3),"2.63%, 3.4 months","100.0%, Past 4 years, 31","Daily, is CONFIRMED on 2025-10-31",Already confirmed,"2026-02-13 (Price: 441.45), 3.6% above",3.5 months,"4, 2025-07-01 (Price: 436.0)",2025-10-31 (Price: 426.1),2025-10-31 (Price: 426.1),105/105/105 days,3.6% above/3.6% above/3.6% above,2025-07-01 (Price: 436.0)/2025-10-31 (Price: 408.7273),23.05%/1.48%/7.55%,"-0.0%, 22.01%",3 months/4 days/25 days,2026-03-10/2025-11-05/2025-12-06,35.02%,33.44%,1.58%,1.05,1.58,473.0562/458.2705/432.04/No Horizontal Resistance/456.8119/613.9011/No EMA 200 Target,407.2/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/350.13,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),53.935127,20.0,15791000000.0,10924500000.0
"DELHIVERY.NS, Long, 2025-10-29 (Price: 484.7)",2026-02-09 (Price: 433.75),"-10.51%, 3.4 months","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2025-10-29",Already confirmed,"2026-02-13 (Price: 424.7), 12.38% below",3.6 months,"2, 2025-09-18 (Price: 489.1)",2025-10-28 (Price: 475.8),2025-10-29 (Price: 484.7),108/107/107 days,10.74% below/12.38% below/12.38% below,2025-09-18 (Price: 489.1)/2025-10-29 (Price: 468.0062),16.05%/1.24%/6.08%,"-0.0%, 26.92%",3.6 months/4 days/17 days,2026-04-03/2025-11-03/2025-11-22,37.01%,-5.11%,42.12%,1.27,-0.12,521.7795/514.1698/487.34/488.55/847.539/894.3863/No EMA 200 Target,446.8/356.05/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/367.97,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),209.52971,20.0,395890000.0,102040000.0
"ADANIPOWER.NS, Long, 2025-09-22 (Price: 170.25)",2026-02-11 (Price: 149.86),"-11.98%, 4.7 months","70.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-09-22",Already confirmed,"2026-02-13 (Price: 141.5), 16.89% below",4.8 months,"8, 2020-05-14 (Price: 7.27)",2025-09-18 (Price: 126.27),2025-09-22 (Price: 170.25),148/144/144 days,12.06% above/16.89% below/16.89% below,2020-05-14 (Price: 7.27)/2025-09-22 (Price: 130.8105),41.03%/2.26%/11.18%,"27.32%, 49.95%",1.6 month/8 days/17 days,2025-11-30/2025-10-03/2025-10-16,33.88%,33.32%,0.56%,0.1,1.31,209.6799/189.2839/268.04/No Horizontal Resistance/235.619/256.0131/No EMA 200 Target,113.4/26.79/169.4015/147.2973/No F-Track Level/No F-Track Level/110.0,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),24.104095,16.0,24795800000.0,33318000000.0
"PFC.NS, Long, 2025-06-09 (Price: 431.0)",2026-02-13 (Price: 401.0),"-6.96%, 8.3 months","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-06-09",Already confirmed,"2026-02-13 (Price: 401.0), 6.96% below",8.3 months,"2, 2025-04-22 (Price: 444.1)",2025-06-06 (Price: 418.4),2025-06-09 (Price: 431.0),252/249/249 days,4.16% below/6.96% below/6.96% below,2025-04-22 (Price: 444.1)/2025-06-09 (Price: 408.1667),11.56%/1.69%/4.61%,"-0.0%, 10.22%",2 months/6 days/24 days,2025-09-03/2025-06-17/2025-07-13,23.21%,16.94%,6.27%,0.99,0.8,475.393/450.8691/438.86/573.2/669.6245/756.265/444.18,404.8/82.66/314.182/287.5813/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),5.257199,10.0,62924600000.0,58287900000.0
"CONCOR.NS, Long, 2025-06-04 (Price: 644.0)",2026-02-09 (Price: 513.6),"-20.25%, 8.3 months","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2025-06-04",Already confirmed,"2026-02-13 (Price: 501.2), 22.17% below",8.5 months,"2, 2019-01-10 (Price: 554.32)",2025-06-04 (Price: 644.0),2025-06-04 (Price: 644.0),254/254/254 days,22.17% below/22.17% below/22.17% below,2019-01-10 (Price: 554.32)/2025-06-04 (Price: 625.3558),14.72%/1.4%/6.13%,"-0.0%, 19.39%",18 days/7 days/11 days,2025-06-30/2025-06-14/2025-06-19,17.15%,-1.47%,18.62%,1.25,0.01,654.1108/683.4772/697.81/824.1/1482.8544/2006.64/712.62,518.92/359.0833/477.9552/455.2414/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),29.859951,20.0,3339100000.0,3666500000.0
"ARE&M.NS, Short, 2026-02-03 (Price: 836.3)",2026-02-09 (Price: 897.25),"-7.29%, 6 days","100.0%, Past 4 years, 9","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-13 (Price: 843.55), 0.87% above",10 days,"4, 2025-11-10 (Price: 957.0)",2026-02-03 (Price: 836.3),2026-02-03 (Price: 836.3),10/10/10 days,0.87% above/0.87% above/0.87% above,2025-11-10 (Price: 957.0)/2026-02-03 (Price: 841.3665),3.09%/1.61%/2.23%,"0%, 5.94%",17 days/7 days/10 days,2026-02-27/2026-02-13/2026-02-17,9.48%,5.0%,4.48%,3.92,0.62,786.8747/817.6505/763.88/No Horizontal Support/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No support,0.0%/1/7 days (Across ALL Assets),55.26%/38/15 days (Across ALL Assets),20.775204,20.0,1648000000.0,2491200000.0
"SBICARD.NS, Short, 2026-01-30 (Price: 753.55)",2026-02-12 (Price: 772.8),"-2.55%, 13 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-13 (Price: 759.0), 0.72% above",14 days,"4, 2025-10-31 (Price: 875.5)",2026-01-28 (Price: 782.4),2026-01-30 (Price: 753.55),16/14/14 days,2.99% below/0.72% above/0.72% above,2025-10-31 (Price: 875.5)/2026-01-30 (Price: 787.2228),7.06%/2.03%/3.32%,"1.81%, 7.6%",26 days/7 days/12 days,2026-03-08/2026-02-09/2026-02-16,8.45%,5.2%,3.25%,1.28,0.17,728.9843/728.5321/680.38/656.625/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/656.625/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No support,0.0%/1/7 days (Across ALL Assets),55.26%/38/15 days (Across ALL Assets),34.610477,10.0,5566400000.0,4044200000.0
